PlayerID,RelativeTime,Event
105,122.82,PLAYER_LOGIN
105,123.12,PLAYER_LOGIN
105,123.128,PLAYER_LOGOUT
7,123.718,PLAYER_LOGOUT
105,123.966,PLAYER_LOGOUT
104,124.642,PLAYER_LOGOUT
104,124.68,PLAYER_LOGIN
84,124.92,PLAYER_LOGIN
43,125.22,PLAYER_LOGIN
113,125.34,PLAYER_LOGIN
7,125.82,PLAYER_LOGIN
7,125.88,PLAYER_LOGIN
7,125.891,PLAYER_LOGOUT
7,125.943,PLAYER_LOGOUT
7,126.0,PLAYER_LOGIN
113,126.051,PLAYER_LOGOUT
113,126.06,PLAYER_LOGIN
113,126.12,PLAYER_LOGIN
113,126.162,PLAYER_LOGOUT
43,126.172,PLAYER_LOGOUT
113,126.18,PLAYER_LOGIN
113,126.23,PLAYER_LOGOUT
53,126.251,PLAYER_LOGOUT
53,126.3,PLAYER_LOGIN
9,126.6,PLAYER_LOGIN
22,126.61,PLAYER_LOGOUT
9,126.659,PLAYER_LOGOUT
43,126.72,PLAYER_LOGIN
116,126.955,PLAYER_LOGOUT
43,127.411,PLAYER_LOGOUT
40,127.62,PLAYER_LOGOUT
84,128.013,PLAYER_LOGOUT
9,128.64,PLAYER_LOGOUT
9,128.64,PLAYER_LOGIN
53,128.893,PLAYER_LOGOUT
53,128.94,PLAYER_LOGIN
53,129.035,PLAYER_LOGOUT
53,129.06,PLAYER_LOGIN
112,129.524,PLAYER_LOGOUT
104,129.9,PLAYER_LOGIN
104,129.91,PLAYER_LOGOUT
22,129.924,PLAYER_LOGOUT
56,130.56,PLAYER_LOGIN
104,131.425,PLAYER_LOGOUT
104,131.46,PLAYER_LOGIN
40,131.747,PLAYER_LOGOUT
13,132.232,PLAYER_LOGOUT
7,132.752,PLAYER_LOGOUT
104,132.887,PLAYER_LOGOUT
104,132.9,PLAYER_LOGIN
58,133.14,PLAYER_LOGIN
58,133.2,PLAYER_LOGIN
114,133.231,PLAYER_LOGOUT
58,133.236,PLAYER_LOGOUT
7,133.38,PLAYER_LOGIN
104,133.463,PLAYER_LOGOUT
40,133.69,PLAYER_LOGOUT
58,133.986,PLAYER_LOGOUT
13,134.22,PLAYER_LOGIN
13,134.293,PLAYER_LOGOUT
56,134.591,PLAYER_LOGOUT
40,134.623,PLAYER_LOGOUT
40,134.799,PLAYER_LOGOUT
53,134.834,PLAYER_LOGOUT
53,134.893,PLAYER_LOGOUT
40,134.949,PLAYER_LOGOUT
40,134.964,PLAYER_LOGOUT
9,135.217,PLAYER_LOGOUT
9,135.24,PLAYER_LOGIN
9,135.24,PLAYER_LOGOUT
9,135.3,PLAYER_LOGIN
39,135.339,PLAYER_LOGOUT
39,135.36,PLAYER_LOGIN
55,135.372,PLAYER_LOGOUT
114,135.96,PLAYER_LOGIN
54,136.44,PLAYER_LOGIN
54,136.44,PLAYER_LOGOUT
54,136.44,PLAYER_LOGIN
54,137.106,PLAYER_LOGOUT
82,137.488,PLAYER_LOGOUT
7,137.689,PLAYER_LOGOUT
87,137.767,PLAYER_LOGOUT
9,138.218,PLAYER_LOGOUT
7,139.8,PLAYER_LOGIN
39,140.869,PLAYER_LOGOUT
105,143.7,PLAYER_LOGIN
113,143.7,PLAYER_LOGIN
113,143.71,PLAYER_LOGOUT
113,143.82,PLAYER_LOGIN
113,143.858,PLAYER_LOGOUT
7,146.527,PLAYER_LOGOUT
113,147.853,PLAYER_LOGOUT
114,148.512,PLAYER_LOGOUT
105,149.278,PLAYER_LOGOUT
41,149.46,PLAYER_LOGIN
41,155.426,PLAYER_LOGOUT
13,164.94,PLAYER_LOGIN
84,165.6,PLAYER_LOGIN
116,165.78,PLAYER_LOGIN
90,166.74,PLAYER_LOGIN
116,167.74,PLAYER_LOGOUT
58,167.76,PLAYER_LOGIN
116,167.76,PLAYER_LOGIN
56,170.7,PLAYER_LOGIN
84,170.998,PLAYER_LOGOUT
11,171.0,PLAYER_LOGIN
116,171.0,PLAYER_LOGIN
116,171.0,PLAYER_LOGOUT
116,171.002,PLAYER_LOGOUT
116,171.06,PLAYER_LOGIN
58,171.186,PLAYER_LOGOUT
11,171.467,PLAYER_LOGOUT
11,171.48,PLAYER_LOGIN
11,171.607,PLAYER_LOGOUT
13,172.131,PLAYER_LOGOUT
56,172.793,PLAYER_LOGOUT
55,173.04,PLAYER_LOGIN
105,173.16,PLAYER_LOGIN
13,173.28,PLAYER_LOGIN
9,173.34,PLAYER_LOGIN
58,174.06,PLAYER_LOGIN
58,174.659,PLAYER_LOGOUT
116,175.068,PLAYER_LOGOUT
7,175.32,PLAYER_LOGIN
22,175.598,PLAYER_LOGOUT
104,177.24,PLAYER_LOGIN
9,177.66,PLAYER_LOGIN
9,177.682,PLAYER_LOGOUT
40,178.285,PLAYER_LOGOUT
22,178.32,PLAYER_LOGOUT
9,178.522,PLAYER_LOGOUT
55,178.98,PLAYER_LOGIN
55,178.996,PLAYER_LOGOUT
55,179.28,PLAYER_LOGIN
116,179.28,PLAYER_LOGIN
116,179.28,PLAYER_LOGOUT
55,179.291,PLAYER_LOGOUT
116,179.34,PLAYER_LOGIN
40,179.539,PLAYER_LOGOUT
58,179.76,PLAYER_LOGIN
58,180.11,PLAYER_LOGOUT
55,180.14,PLAYER_LOGOUT
7,180.148,PLAYER_LOGOUT
55,180.18,PLAYER_LOGIN
55,180.24,PLAYER_LOGIN
55,180.302,PLAYER_LOGOUT
55,180.72,PLAYER_LOGIN
55,180.734,PLAYER_LOGOUT
55,182.083,PLAYER_LOGOUT
55,182.1,PLAYER_LOGIN
13,182.687,PLAYER_LOGOUT
13,182.7,PLAYER_LOGIN
104,182.88,PLAYER_LOGIN
104,182.908,PLAYER_LOGOUT
11,183.0,PLAYER_LOGIN
11,183.07,PLAYER_LOGOUT
55,183.085,PLAYER_LOGOUT
55,183.12,PLAYER_LOGIN
84,183.18,PLAYER_LOGIN
40,183.54,PLAYER_LOGIN
9,183.6,PLAYER_LOGIN
40,183.606,PLAYER_LOGOUT
104,183.787,PLAYER_LOGOUT
90,183.93,PLAYER_LOGOUT
90,183.96,PLAYER_LOGIN
11,184.26,PLAYER_LOGIN
11,184.328,PLAYER_LOGOUT
55,184.426,PLAYER_LOGOUT
104,184.62,PLAYER_LOGIN
58,185.76,PLAYER_LOGIN
82,186.06,PLAYER_LOGIN
112,186.06,PLAYER_LOGIN
84,186.3,PLAYER_LOGOUT
84,186.42,PLAYER_LOGIN
7,186.48,PLAYER_LOGIN
9,186.637,PLAYER_LOGOUT
41,186.96,PLAYER_LOGIN
55,187.44,PLAYER_LOGIN
58,187.527,PLAYER_LOGOUT
40,187.62,PLAYER_LOGIN
40,187.674,PLAYER_LOGOUT
104,188.46,PLAYER_LOGIN
104,188.482,PLAYER_LOGOUT
90,188.666,PLAYER_LOGOUT
